name,dist,alt,ful,time,lat,lon
EBBR,,0,96900,1774116600000,50.90138888888889,4.484444444444445
BR018,25.928,0,93700,0,50.967777777777776,4.318611111111111
NIK,50.004,0,92900,0,51.1525,4.183333333333334
PEVAD,64.82,0,92400,0,51.268055555555556,4.050833333333333
VICOT,87.044,0,91800,0,51.469166666666666,4.05
DOFMU,118.528,0,90900,0,51.734722222222224,4.235
TOC,168.532,8839,89400,0,52.15,4.55
EKROS,179.644,8839,89300,0,52.23388888888889,4.617222222222222
SPY,216.684,8839,88900,0,52.534444444444446,4.850555555555555
EEL,357.436,8839,87300,0,53.1525,6.666666666666667
FIR,387.068,8839,87000,0,53.35166666666667,6.968333333333334
WANZA,522.264,8839,85500,0,54.218333333333334,8.4
ALASA,642.644,8839,84200,0,54.80138888888889,9.951944444444445
FIR,822.288,8839,82200,0,55.33444444444444,12.634444444444444
NINTA,1005.636,8839,78200,0,56.21861111111111,18.28361111111111
ADAXA,1044.528,8839,77800,0,56.285833333333336,18.885833333333334
DESON,1159.352,9449,76400,0,56.88527777777778,20.41722222222222
RUDNI,1292.696,9449,75100,0,57.40083333333333,22.401944444444446
FIR,1344.552,9449,74600,0,57.58416666666667,23.234444444444446
FIR,1364.924,9449,74400,0,57.65083333333333,23.535555555555554
NEVTO,1385.296,9449,74200,0,57.71722222222222,23.850833333333334
FIR,1418.632,9449,73800,0,57.86888888888889,24.335
FIR,1429.744,9449,73700,0,57.93361111111111,24.5025
FIR,1435.3,9449,73700,0,57.95194444444444,24.585277777777776
TUKMA,1609.388,9449,72000,0,58.73416666666667,27.134722222222223
MEGAS,1624.204,9449,71900,0,58.8,27.383333333333333
POTKE,1714.952,9449,71000,0,59.15027777777778,28.801666666666666
BESNO,1861.26,9449,69700,0,59.66916666666667,31.15138888888889
ORSUR,1911.264,9449,69200,0,59.76888888888889,32.00138888888889
KERIS,1929.784,9449,69100,0,59.8025,32.33416666666667
LEDBA,2102.02,9449,67500,0,59.734722222222224,35.38361111111111
ZOVKI,2172.396,9449,66900,0,59.68416666666667,36.634166666666665
SIZAV,2244.624,9449,66200,0,59.617777777777775,37.9
DOKOD,2355.744,9449,65200,0,59.48583333333333,39.835
OMOBU,2402.044,9449,64800,0,59.4525,40.66722222222222
TUNOB,2496.496,9449,63900,0,59.38333333333333,42.31861111111111
BALOB,2602.06,9449,63000,0,59.25194444444445,44.15111111111111
DIBAB,2666.88,9449,62400,0,59.18333333333333,45.268055555555556
AGNOG,2796.52,9449,61200,0,58.918055555555554,47.46666666666667
OLNUP,2853.932,9449,60700,0,58.81722222222222,48.45
OGIDA,2876.156,10058,60400,0,58.76833333333333,48.83361111111111
OKTIP,2900.232,10058,60200,0,58.71861111111111,49.235277777777775
DIKIN,2974.312,10058,59500,0,58.56805555555555,50.5
UNANI,3042.836,10058,58900,0,58.41694444444445,51.63388888888889
IBZON,3072.468,10058,58600,0,58.36694444444444,52.11694444444444
