alt,dat,dep,des,eta,etd,flyTime,ful,important,lat,lon,name,time,tripfuel
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,89500,false,39.00111111111111,112.31722222222223,P252,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,88900,false,39.484722222222224,112.20027777777777,TODAM,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,88300,false,39.98361111111111,112.06916666666666,DUBUB,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,88000,false,40.20166666666667,112.01833333333333,ISBAM,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,87800,false,40.38583333333333,111.96888888888888,NUTLO,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,87500,false,40.617777777777775,111.91888888888889,BAXOD,0,107759
9174,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,87300,false,40.71805555555556,111.9,HET,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,85300,false,42.20111111111111,111.30055555555556,LAXAG,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,84000,false,43.20194444444444,110.88333333333334,NIXAL,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,80800,false,44.9025,108.3525,ENGUG,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,79000,false,45.86888888888889,106.81888888888889,MASMU,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,78000,false,46.43555555555555,105.88388888888889,ANGID,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,76100,false,47.41833333333334,104.16833333333334,LEDED,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,75200,false,47.90138888888889,103.285,BEGVO,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,73600,false,48.733333333333334,101.70222222222222,UBSUN,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,71900,false,49.60194444444444,99.91666666666667,BUTIV,0,107759
9784,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,70400,false,50.35111111111111,98.28527777777778,DARNO,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,70400,false,50.36666666666667,98.25222222222222,FIR,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,67100,false,51.585,94.20166666666667,KZL,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,62900,false,53.23555555555556,88.95194444444445,LOBIR,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,61300,false,53.80166666666667,86.86861111111111,NOSPI,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,60100,false,54.285,85.4336111111111,IDGAR,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,59200,false,54.666666666666664,84.25138888888888,VENAP,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,58100,false,55.06861111111111,82.885,ODIDA,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,57700,false,55.26916666666666,82.40083333333334,KD,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,56900,false,55.466944444444444,81.13361111111111,OGAMA,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,56000,false,55.63361111111111,79.88583333333334,OSNAB,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,54800,false,56.33416666666667,78.35111111111111,KZ,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,54100,false,56.550555555555555,77.38555555555556,ROBLA,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,51700,false,57.28333333333333,73.65194444444444,MAGAR,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,50200,false,57.7,71.1525,UNKIS,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,48900,false,58.01777777777778,69.10166666666667,TIFAS,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,48400,false,58.13472222222222,68.26833333333333,NH,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,48000,false,58.219166666666666,67.65194444444444,MOLEG,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,47200,false,58.4175,66.26805555555555,UGLIT,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,46300,false,58.600833333333334,64.78527777777778,MAPUN,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,45800,false,58.702222222222225,63.835,UTORA,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,44500,false,58.984722222222224,61.617222222222225,GIKES,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,42500,false,59.285,58.03472222222222,SOMUD,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,42000,false,59.35111111111111,57.100833333333334,BADIK,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,40400,false,59.483333333333334,54.01777777777778,LOBVI,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,39900,false,59.50083333333333,53.18333333333333,NEGOK,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,39300,false,59.55166666666667,52.03333333333333,KEMEB,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,38700,false,59.60111111111111,50.850833333333334,LIKNU,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,38400,false,59.600833333333334,50.335,PENUD,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,37700,false,59.58583333333333,48.9525,BEMIR,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,37400,false,59.58444444444444,48.31805555555555,RILER,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,36800,false,59.566944444444445,47.23416666666667,RITKI,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,35900,false,59.516666666666666,45.48583333333333,ANDAT,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,35600,false,59.55222222222222,44.73555555555556,LORPI,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,35200,false,59.60138888888889,44.084722222222226,DORAK,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,34500,false,59.685833333333335,42.63333333333333,MEGTE,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,34000,false,59.75,41.58583333333333,APSAS,0,107759
9754,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,33200,false,59.8,40.168055555555554,AKEGA,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,32900,false,59.800555555555555,39.7,ODETI,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,32700,false,59.80083333333334,39.36888888888889,TIPNA,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,32100,false,59.785833333333336,38.117222222222225,INSOK,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,31700,false,59.78388888888889,37.23555555555556,ROSNI,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,31400,false,59.76861111111111,36.818333333333335,VUZMI,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,30700,false,59.734722222222224,35.38361111111111,LEDBA,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,29000,false,59.68416666666667,31.951666666666668,OSKEM,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,28600,false,59.66916666666667,31.15138888888889,BESNO,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,27700,false,59.7175,29.51888888888889,UMODI,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,27500,false,59.617777777777775,29.018055555555556,TURAL,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,27200,false,59.51916666666666,28.516666666666666,OKBES,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,26900,false,59.45111111111111,28.1,RANVA,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,26900,false,59.45,28.066944444444445,FIR,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,26600,false,59.33416666666667,27.484444444444446,RESMO,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,25000,false,58.717777777777776,24.58388888888889,KEMET,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,23600,false,57.90111111111111,22.517222222222223,RINEV,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,23300,false,57.75111111111111,21.967777777777776,FIR,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,22000,true,57.1525,19.918055555555554,EVONA,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,19100,false,55.467777777777776,15.633611111111112,ETRUS,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,17800,false,54.916666666666664,13.383888888888889,SALLO,0,107759
10668,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,17100,false,54.56666666666667,12.518888888888888,SULIV,0,107759
10668,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,16700,false,54.20166666666667,12.068333333333333,ROSOK,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,16200,false,53.718333333333334,11.466944444444444,BERIM,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,16000,false,53.535833333333336,11.185,FIR,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,14400,false,52.233333333333334,9.267222222222221,ROBEG,0,107759
10363,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,13700,false,51.766666666666666,8.318333333333333,EXOBA,0,107759
7315,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,13600,false,51.48444444444444,7.468333333333334,IRBUP,0,107759
7315,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,13500,false,51.418055555555554,7.268888888888889,ABAMI,0,107759
7315,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,13000,false,51.13444444444445,6.667222222222223,TOD,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,13000,false,51.08416666666667,6.552222222222222,NEREL,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,12900,false,50.75,6.033333333333333,AGENI,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,12800,false,50.65,5.835833333333333,BATTY,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,12700,false,50.86833333333333,5.133611111111111,FLO,0,107759
0,2026-03-19 00:00:00.0,ZHEC,EBBR,21:42,10:25,677,12300,false,50.90027777777778,4.483611111111111,EBBR,1773927720000,107759
