name,dist,alt,ful,time,lat,lon
EBBR,,0,87236,1775940000000,50.90138888888889,4.484444444444445
BR018,25.928,0,84100,0,50.967777777777776,4.318611111111111
NIK,50.004,0,83500,0,51.1525,4.183333333333334
PEVAD,64.82,0,83100,0,51.268055555555556,4.050833333333333
VICOT,87.044,0,82500,0,51.469166666666666,4.05
DOFMU,118.528,0,81700,0,51.734722222222224,4.235
TOC,144.456,8839,81200,0,51.95,4.4
EKROS,179.644,8839,81000,0,52.23388888888889,4.617222222222222
SPY,216.684,8839,80700,0,52.534444444444446,4.850555555555555
EEL,357.436,8839,79600,0,53.1525,6.666666666666667
FIR,387.068,8839,79400,0,53.35166666666667,6.968333333333334
WANZA,522.264,8839,78400,0,54.218333333333334,8.4
ALASA,642.644,8839,77400,0,54.80138888888889,9.951944444444445
FIR,822.288,8839,75900,0,55.33444444444444,12.634444444444444
NINTA,1005.636,8839,72800,0,56.21861111111111,18.28361111111111
ADAXA,1044.528,8839,72500,0,56.285833333333336,18.885833333333334
DESON,1159.352,9449,71300,0,56.88527777777778,20.41722222222222
RUDNI,1292.696,9449,70100,0,57.40083333333333,22.401944444444446
FIR,1344.552,9449,69700,0,57.58416666666667,23.234444444444446
FIR,1364.924,9449,69500,0,57.65083333333333,23.535555555555554
NEVTO,1385.296,9449,69300,0,57.71722222222222,23.850833333333334
FIR,1418.632,9449,69000,0,57.86888888888889,24.335
FIR,1429.744,9449,68900,0,57.93361111111111,24.5025
FIR,1435.3,9449,68900,0,57.95194444444444,24.585277777777776
TUKMA,1609.388,9449,67200,0,58.73416666666667,27.134722222222223
MEGAS,1624.204,9449,67100,0,58.8,27.383333333333333
POTKE,1714.952,10668,66000,0,59.15027777777778,28.801666666666666
BESNO,1861.26,10668,64700,0,59.66916666666667,31.15138888888889
ORSUR,1911.264,10668,64200,0,59.76888888888889,32.00138888888889
KERIS,1929.784,10668,64000,0,59.8025,32.33416666666667
LEDBA,2102.02,10668,62400,0,59.734722222222224,35.38361111111111
ZOVKI,2172.396,10668,61700,0,59.68416666666667,36.634166666666665
SIZAV,2244.624,10668,61100,0,59.617777777777775,37.9
DOKOD,2355.744,10668,60100,0,59.48583333333333,39.835
OMOBU,2402.044,10668,59600,0,59.4525,40.66722222222222
TUNOB,2496.496,10668,58800,0,59.38333333333333,42.31861111111111
BALOB,2602.06,10668,57800,0,59.25194444444445,44.15111111111111
DIBAB,2666.88,11278,57100,0,59.18333333333333,45.268055555555556
AGNOG,2796.52,11278,56000,0,58.918055555555554,47.46666666666667
OLNUP,2853.932,11278,55500,0,58.81722222222222,48.45
OGIDA,2876.156,11278,55300,0,58.76833333333333,48.83361111111111
OKTIP,2900.232,11278,55100,0,58.71861111111111,49.235277777777775
DIKIN,2974.312,11278,54500,0,58.56805555555555,50.5
UNANI,3042.836,11278,53900,0,58.41694444444445,51.63388888888889
IBZON,3072.468,11278,53700,0,58.36694444444444,52.11694444444444
OBETU,3183.588,11278,52800,0,58.15111111111111,53.967777777777776
SUMOM,3231.74,11278,52400,0,58.05083333333334,54.78333333333333
IPRAT,3261.372,11278,52200,0,58.01694444444445,55.284166666666664
GANPO,3296.56,11278,51900,0,57.96805555555556,55.86805555555556
ULPAS,3424.348,11278,50900,0,57.785,58.00138888888889
ODMUR,3444.72,11278,50800,0,57.751666666666665,58.335
ABDIR,3581.768,11278,49700,0,57.5175,60.60111111111111
ORTOD,3642.884,11278,49300,0,57.48444444444444,61.618611111111115
ATMEB,3678.072,11278,49000,0,57.466944444444444,62.20111111111111
GIBUL,3772.524,11278,48400,0,57.385555555555555,63.751666666666665
GINPA,3818.824,11278,48000,0,57.284166666666664,64.51694444444445
TINRI,3868.828,11278,47700,0,57.16694444444445,65.3025
LEGBI,3979.948,11278,45600,0,56.51722222222222,70.00222222222222
GISMA,4007.728,11278,44100,0,55.885555555555555,73.25027777777778
ABESA,4120.7,11278,42000,0,54.91833333333334,77.61861111111111
LUMER,4163.296,11278,40500,0,54.0175,80.7525
RALEG,4218.856,11278,40100,0,53.784166666666664,81.50194444444445
IDERI,4263.304,11278,39800,0,53.58583333333333,82.10027777777778
AMRAD,4331.828,11278,39300,0,53.3,83.0
KUDEB,4331.828,11278,38100,0,52.46666666666667,85.38333333333334
MADUT,4444.8,11278,37400,0,52.33444444444444,87.01722222222222
ORTUS,4557.772,11278,36600,0,52.18416666666667,88.65194444444444
DARNO,4704.08,11278,32100,0,50.35111111111111,98.28527777777778
BUTIV,4846.684,11308,31200,0,49.60194444444444,99.91666666666667
UBSUN,5009.66,11308,30100,0,48.733333333333334,101.70222222222222
BEGVO,5157.82,11308,29200,0,47.90138888888889,103.285
LEDED,5243.012,11308,28700,0,47.41833333333334,104.16833333333334
ANGID,5413.396,11308,27600,0,46.43555555555555,105.88388888888889
MASMU,5509.7,11308,27000,0,45.86888888888889,106.81888888888889
ENGUG,5670.824,11308,26000,0,44.9025,108.3525
NIXAL,5761.572,11308,24300,0,43.20194444444444,110.88333333333334
LAXAG,5878.248,10698,23500,0,42.20111111111111,111.30055555555556
HET,6050.484,10698,22300,0,40.71805555555556,111.9
BAXOD,6061.596,10698,22200,0,40.617777777777775,111.91888888888889
NUTLO,6087.524,10698,22100,0,40.38583333333333,111.96888888888888
ISBAM,6107.896,10698,21900,0,40.20166666666667,112.01833333333333
DUBUB,6133.824,10698,21700,0,39.98361111111111,112.06916666666666
TODAM,6189.384,10698,21300,0,39.484722222222224,112.20027777777777
P252,6244.944,10698,21000,0,39.00111111111111,112.31722222222223
NOMAX,6306.06,10698,20500,0,38.451388888888886,112.45027777777777
EKETA,6372.732,10698,20100,0,37.86805555555556,112.58444444444444
AGVUR,6387.548,10698,19900,0,37.75,112.61694444444444
EXORI,6402.364,10698,19800,0,37.617777777777775,112.65194444444444
ANPIG,6467.184,10698,19400,0,37.05083333333334,112.85
SQ,6559.784,10698,18700,0,36.23444444444444,113.11666666666666
PADNO,6606.084,10698,18400,0,35.83555555555556,113.285
TAMIX,6633.864,10698,18200,0,35.60194444444444,113.38583333333334
NOPIN,6654.236,10698,18100,0,35.43555555555555,113.4675
ISNAG,6722.76,10698,17600,0,34.852222222222224,113.71888888888888
CGO,6761.652,10698,17400,0,34.51694444444445,113.835
P295,6841.288,7498,17100,0,33.8175,114.05166666666666
KAMDA,6893.144,7498,16700,0,33.36666666666667,114.20055555555555
IGMIG,6917.22,7498,16500,0,33.28388888888889,114.45083333333334
DUDBI,6943.148,7498,16300,0,33.20111111111111,114.7025
ATMEM,6978.336,7498,16000,0,32.88361111111111,114.68333333333334
P123,7002.412,7498,15800,0,32.651666666666664,114.65222222222222
ENLAB,7033.896,7498,15500,0,32.38333333333333,114.63388888888889
TOD,7156.128,7498,14500,0,31.26888888888889,114.5188888888889
AVLEN,7159.832,0,14500,0,31.235277777777778,114.51833333333333
DHP,7202.428,0,14400,0,30.86722222222222,114.46722222222222
MOU,7259.84,0,14200,0,30.601944444444445,114.98416666666667
AGUXI,7272.804,0,14200,0,30.485833333333332,114.96666666666667
EC404,7307.992,0,14100,0,30.184166666666666,114.90055555555556
ZHEC,7328.364,0,13800,1775890620000,30.342777777777776,115.02972222222222
