name,dist,alt,ful,time,lat,lon
EBBR,,0,86449,1772872800000,50.90138888888889,4.484444444444445
BR018,25.928,0,83400,0,50.967777777777776,4.318611111111111
NIK,50.004,0,82600,0,51.1525,4.183333333333334
PEVAD,64.82,0,82200,0,51.268055555555556,4.050833333333333
VICOT,87.044,0,81600,0,51.469166666666666,4.05
DOFMU,118.528,0,80800,0,51.734722222222224,4.235
TOC,150.012,8839,80000,0,52.0,4.434444444444445
EKROS,179.644,8839,79800,0,52.23388888888889,4.617222222222222
SPY,216.684,8839,79400,0,52.534444444444446,4.850555555555555
EEL,357.436,8839,78200,0,53.1525,6.666666666666667
FIR,387.068,8839,78000,0,53.35166666666667,6.968333333333334
WANZA,522.264,8839,76800,0,54.218333333333334,8.4
ALASA,642.644,8839,75800,0,54.80138888888889,9.951944444444445
FIR,822.288,8839,74200,0,55.33444444444444,12.634444444444444
NINTA,1005.636,8839,71000,0,56.21861111111111,18.28361111111111
ADAXA,1044.528,8839,70700,0,56.285833333333336,18.885833333333334
DESON,1159.352,9449,69500,0,56.88527777777778,20.41722222222222
RUDNI,1292.696,9449,68300,0,57.40083333333333,22.401944444444446
FIR,1344.552,9449,67900,0,57.58416666666667,23.234444444444446
FIR,1364.924,9449,67700,0,57.65083333333333,23.535555555555554
NEVTO,1385.296,9449,67600,0,57.71722222222222,23.850833333333334
FIR,1418.632,9449,67300,0,57.86888888888889,24.335
FIR,1429.744,9449,67200,0,57.93361111111111,24.5025
FIR,1435.3,9449,67100,0,57.95194444444444,24.585277777777776
TUKMA,1609.388,9449,65700,0,58.73416666666667,27.134722222222223
MEGAS,1624.204,9449,65600,0,58.8,27.383333333333333
POTKE,1714.952,9449,64800,0,59.15027777777778,28.801666666666666
BESNO,1861.26,9449,63600,0,59.66916666666667,31.15138888888889
ORSUR,1911.264,10668,62900,0,59.76888888888889,32.00138888888889
KERIS,1929.784,10668,62800,0,59.8025,32.33416666666667
LEDBA,2102.02,10668,61400,0,59.734722222222224,35.38361111111111
ZOVKI,2172.396,10668,60800,0,59.68416666666667,36.634166666666665
SIZAV,2244.624,10668,60300,0,59.617777777777775,37.9
DOKOD,2355.744,10668,59400,0,59.48583333333333,39.835
OMOBU,2402.044,10668,59100,0,59.4525,40.66722222222222
TUNOB,2496.496,10668,58300,0,59.38333333333333,42.31861111111111
BALOB,2602.06,10668,57500,0,59.25194444444445,44.15111111111111
DIBAB,2666.88,10668,57000,0,59.18333333333333,45.268055555555556
AGNOG,2796.52,10668,56000,0,58.918055555555554,47.46666666666667
OLNUP,2853.932,10668,55500,0,58.81722222222222,48.45
OGIDA,2876.156,10668,55400,0,58.76833333333333,48.83361111111111
OKTIP,2900.232,10668,55200,0,58.71861111111111,49.235277777777775
DIKIN,2974.312,10668,54600,0,58.56805555555555,50.5
UNANI,3042.836,10668,54100,0,58.41694444444445,51.63388888888889
IBZON,3072.468,10668,53900,0,58.36694444444444,52.11694444444444
OBETU,3183.588,10668,53000,0,58.15111111111111,53.967777777777776
SUMOM,3231.74,10668,52600,0,58.05083333333334,54.78333333333333
IPRAT,3261.372,10668,52400,0,58.01694444444445,55.284166666666664
GANPO,3296.56,10668,52100,0,57.96805555555556,55.86805555555556
ULPAS,3424.348,10668,51200,0,57.785,58.00138888888889
ODMUR,3444.72,10668,51000,0,57.751666666666665,58.335
ABDIR,3581.768,10668,49900,0,57.5175,60.60111111111111
ORTOD,3642.884,10668,49500,0,57.48444444444444,61.618611111111115
ATMEB,3678.072,10668,49200,0,57.466944444444444,62.20111111111111
GIBUL,3772.524,10668,48500,0,57.385555555555555,63.751666666666665
GINPA,3818.824,10668,48100,0,57.284166666666664,64.51694444444445
TINRI,3868.828,10668,47800,0,57.16694444444445,65.3025
LEGBI,3979.948,10668,45600,0,56.51722222222222,70.00222222222222
GISMA,4007.728,10668,44000,0,55.885555555555555,73.25027777777778
ABESA,4120.7,10668,41800,0,54.91833333333334,77.61861111111111
LUMER,4163.296,10668,40200,0,54.0175,80.7525
RALEG,4218.856,10668,39800,0,53.784166666666664,81.50194444444445
IDERI,4263.304,10668,39500,0,53.58583333333333,82.10027777777778
AMRAD,4331.828,10668,39000,0,53.3,83.0
KUDEB,4331.828,10668,37700,0,52.46666666666667,85.38333333333334
MADUT,4444.8,10668,37000,0,52.33444444444444,87.01722222222222
ORTUS,4557.772,10668,36200,0,52.18416666666667,88.65194444444444
DARNO,4704.08,11278,31200,0,50.35111111111111,98.28527777777778
BUTIV,4846.684,11308,30200,0,49.60194444444444,99.91666666666667
UBSUN,5009.66,11308,29000,0,48.733333333333334,101.70222222222222
BEGVO,5157.82,11308,27900,0,47.90138888888889,103.285
LEDED,5243.012,11308,27300,0,47.41833333333334,104.16833333333334
ANGID,5413.396,11308,26200,0,46.43555555555555,105.88388888888889
MASMU,5509.7,11308,25500,0,45.86888888888889,106.81888888888889
ENGUG,5670.824,11308,24400,0,44.9025,108.3525
NIXAL,5761.572,11308,22500,0,43.20194444444444,110.88333333333334
LAXAG,5878.248,10698,21600,0,42.20111111111111,111.30055555555556
HET,6050.484,10698,20400,0,40.71805555555556,111.9
BAXOD,6061.596,10698,20400,0,40.617777777777775,111.91888888888889
NUTLO,6087.524,10698,20200,0,40.38583333333333,111.96888888888888
ISBAM,6107.896,10698,20000,0,40.20166666666667,112.01833333333333
DUBUB,6133.824,10698,19900,0,39.98361111111111,112.06916666666666
TODAM,6189.384,10698,19500,0,39.484722222222224,112.20027777777777
P252,6244.944,10698,19100,0,39.00111111111111,112.31722222222223
NOMAX,6306.06,10698,18700,0,38.451388888888886,112.45027777777777
EKETA,6372.732,10698,18200,0,37.86805555555556,112.58444444444444
AGVUR,6387.548,10698,18100,0,37.75,112.61694444444444
EXORI,6402.364,10698,18000,0,37.617777777777775,112.65194444444444
ANPIG,6467.184,10698,17600,0,37.05083333333334,112.85
SQ,6559.784,10698,16900,0,36.23444444444444,113.11666666666666
PADNO,6606.084,10698,16600,0,35.83555555555556,113.285
TAMIX,6633.864,10698,16400,0,35.60194444444444,113.38583333333334
